model_num,reason    
278,"Segementation fault on 'te.loads'"
342,"Segementation fault on 'te.loads'"
343,"Segementation fault on 'te.loads'"
344,"Segementation fault on 'te.loads'"
474,"Segementation fault on 'te.loads'"
493,"Segementation fault on 'te.loads'"
500,"Segementation fault on 'te.loads'"
501,"Segementation fault on 'te.loads'"
533,"Segementation fault on 'te.loads'"
540,"Segementation fault on 'te.loads'"
541,"Segementation fault on 'te.loads'"
546,"Segementation fault on 'te.loads'"
585,"Segementation fault on 'te.loads'"
589,"Segementation fault on 'te.loads'"
590,"Segementation fault on 'te.loads'"
591,"Segementation fault on 'te.loads'"
642,"Segementation fault on 'te.loads'"
657,"Segementation fault on 'te.loads'"
674,"Segementation fault on 'te.loads'"
675,"Segementation fault on 'te.loads'"
679,"Segementation fault on 'te.loads'"
683,"Segementation fault on 'te.loads'"
701,"Segementation fault on 'te.loads'"
707,"Segementation fault on 'te.loads'"
745,"Segementation fault on 'te.loads'"
746,"Segementation fault on 'te.loads'"
793,"Segementation fault on 'te.loads'"
816,"Segementation fault on 'te.loads'"
817,"Segementation fault on 'te.loads'"
830,"Segementation fault on 'te.loads'"
831,"Segementation fault on 'te.loads'"
833,"Segementation fault on 'te.loads'"
834,"Segementation fault on 'te.loads'"
835,"Segementation fault on 'te.loads'"
836,"Segementation fault on 'te.loads'"
842,"Segementation fault on 'te.loads'"
849,"Segementation fault on 'te.loads'"
856,"Segementation fault on 'te.loads'"
860,"Segementation fault on 'te.loads'"
862,"Segementation fault on 'te.loads'"
863,"Segementation fault on 'te.loads'"
864,"Segementation fault on 'te.loads'"
866,"Segementation fault on 'te.loads'"
868,"Segementation fault on 'te.loads'"
869,"Segementation fault on 'te.loads'"
870,"Segementation fault on 'te.loads'"
871,"Segementation fault on 'te.loads'"
872,"Segementation fault on 'te.loads'"
873,"Segementation fault on 'te.loads'"
874,"Segementation fault on 'te.loads'"
875,"Segementation fault on 'te.loads'"
878,"Segementation fault on 'te.loads'"
882,"Segementation fault on 'te.loads'"
915,"Segementation fault on 'te.loads'"
917,"Segementation fault on 'te.loads'"
918,"Segementation fault on 'te.loads'"
920,"Segementation fault on 'te.loads'"
923,"Segementation fault on 'te.loads'"
924,"Segementation fault on 'te.loads'"
925,"Segementation fault on 'te.loads'"
926,"Segementation fault on 'te.loads'"
927,"Segementation fault on 'te.loads'"
928,"Segementation fault on 'te.loads'"
931,"Segementation fault on 'te.loads'"
959,"Segementation fault on 'te.loads'"
975,"Segementation fault on 'te.loads'"
989,"Segementation fault on 'te.loads'"
990,"Segementation fault on 'te.loads'"
994,"Segementation fault on 'te.loads'"
995,"Segementation fault on 'te.loads'"
996,"Segementation fault on 'te.loads'"
997,"Segementation fault on 'te.loads'"
998,"Segementation fault on 'te.loads'"
999,"Segementation fault on 'te.loads'"
1000,"Segementation fault on 'te.loads'"
1001,"Segementation fault on 'te.loads'"
1002,"Segementation fault on 'te.loads'"
1003,"Segementation fault on 'te.loads'"
1004,"Segementation fault on 'te.loads'"
1007,"Segementation fault on 'te.loads'"
1009,"Segementation fault on 'te.loads'"
1010,"Segementation fault on 'te.loads'"
1026,"Segementation fault on 'te.loads'"
1027,"Segementation fault on 'te.loads'"
1028,"Segementation fault on 'te.loads'"
1029,"Segementation fault on 'te.loads'"
1039,"Segementation fault on 'te.loads'"
1040,"Segementation fault on 'te.loads'"
1044,"Segementation fault on 'te.loads'"
1046,"Segementation fault on 'te.loads'"
